"GO" "genes"
"cellular response to amino acid stimulus" "GCLM/IPO5/COL16A1/MMP2/COL1A1/LARS/HNRNPD/COL6A1/COL1A2/COL4A1/OPA1/COL5A2"
"positive regulation of catabolic process" "PSMC4/GNAI3/VPS35/PABPC1/HSP90AA1/PSMC5/KHSRP/RBX1/PSMC6/SPTLC2/HIF1A/BNIP3L/OAZ1/NOP53/CDC37/NFE2L2/CLU/SNX9/UBQLN1/MAP3K7/HNRNPD/CSNK1D/AKT1/RALB/PLK2/MTDH/SCOC/LPCAT1/SNF8/HK2/PSMC2/VCP/PLK1/DDB1/DHX36/RAD23A/UBQLN2/HMGB1/YTHDF2/RAB12"
"negative regulation of mRNA splicing, via spliceosome" "PTBP1/HNRNPL/C1QBP/SRSF4/HNRNPA2B1/RBM42"
"negative regulation of gene expression, epigenetic" "H2AFY/HDAC1/TRIM28/SMARCA5/HIST1H4H/RBBP4/HIST1H1E/HIST1H1B/H1FX/MORF4L1/HIST1H1C/H1F0/HMGB1/HDAC2/HIST1H4K/HIST1H4D/HIST1H4A"
"positive regulation of gene expression, epigenetic" "H2AFY/SF3B1/DEK/POLR1B/SMARCA5/HIST1H1E/HIST1H1B/H1FX/HIST1H1C/H1F0/MYO1C"
"intrinsic apoptotic signaling pathway in response to oxidative stress" "HIF1A/NFE2L2/SFPQ/UBQLN1/SOD1/AKT1/PARP1/P4HB/GPX1"
"positive regulation of DNA biosynthetic process" "RFC2/XRCC5/HSP90AA1/MAPK1/CCT4/NEK2/TCP1/HNRNPA2B1/HNRNPD/NAF1/CCT5/CCT3"
"DNA biosynthetic process" "RFC2/UFD1/XRCC5/HSP90AA1/MAPK1/USP10/POLE4/CCT4/NEK2/DUSP1/TCP1/HNRNPA2B1/FAM129B/HNRNPD/NAF1/CCT5/UBC/CCT3/VCP/UBB/EXOSC10/PPIA"
"cellular component disassembly involved in execution phase of apoptosis" "ACIN1/KPNB1/KPNA1/TOP2A/HMGB2/FEN1/H1F0/HMGB1"
"RNA polymerase II preinitiation complex assembly" "PSMC4/PSMC5/PSMC6/DR1/GTF2B/PSMC2/TAF7/HMGB1"
"telomere organization" "RFC2/XRCC5/HSP90AA1/MAPK1/CCT4/NEK2/TCP1/HNRNPA2B1/HNRNPD/PARP1/NAF1/CCT5/HIST1H4H/CCT3/FEN1/EXOSC10/DHX36/USP7/HIST1H4K/HIST1H4D/HIST1H4A"
"extracellular structure organization" "TIMP2/PRKACA/FSCN1/PLOD1/COL16A1/B4GALT1/MMP2/LAMB1/CST3/DNAJB6/PLOD3/AEBP1/COL1A1/LOX/FN1/NID1/PRDX4/ACSL3/COLGALT1/PXDN/COL5A1/COL4A2/LAMC1/FLOT1/THBS1/ADAM10/ITGAV/RB1/COL6A1/PLOD2/MMP14/ITGA5/COL6A3/COL1A2/HTRA1/LAMB2/BSG/P4HB/COL4A1/COL5A2"
"in utero embryonic development" "PSMC4/CUL3/RCN1/YBX3/UBE2A/TMED2/MAPK1/RTCB/MYH9/HIF1A/DNAJB6/PLOD3/ZPR1/PRPF19/SF3B6/NEK2/RDH10/EIF2S2/EMG1/DAD1/TRIM28/NASP/CCNB1/NMT1/RTF1/ADAM10/AKT1/SEC24D/MAP2K1/FOSL1/BRK1/GGNBP2"
"viral life cycle" "VTA1/PABPC1/CHMP2B/SMARCB1/CHMP4B/KPNA3/KPNB1/DDX5/KPNA1/STAU1/DEK/NECTIN2/TRIM28/TOP2A/ROCK2/RAB1A/ITGAV/SCARB2/NPC1/UBC/VPS37A/SNF8/ITGA5/VCP/PPIB/DDB1/UBB/RAB1B/BANF1/RAD23A/P4HB/LAMP1/PPIA"
"pyridine nucleotide metabolic process" "ME1/PTGS2/ENO1/HIF1A/PGK1/NAMPT/GAPDH/PGLS/PDHA1/PGD/MDH2/HK2/VCP/DDIT4/STAT3/PGAM1/IDH2/PNP"
"nicotinamide nucleotide metabolic process" "ME1/PTGS2/ENO1/HIF1A/PGK1/NAMPT/GAPDH/PGLS/PDHA1/PGD/MDH2/HK2/VCP/DDIT4/STAT3/PGAM1/IDH2/PNP"
"regulation of mitochondrion organization" "SLC25A5/VPS35/HIF1A/BNIP3L/PDCD5/CDC37/PPIF/GOLPH3/CLU/NMT1/NPEPPS/AKT1/BAG3/HK2/LMNA/SQSTM1/ACAA2/MFF/PRELID1/OPA1/GPX1/APOPT1"
"regulation of multi-organism process" "FUCA2/UFD1/PABPC1/CHMP2B/ZMPSTE24/B4GALT1/SMARCB1/CHMP4B/NOP53/PPP2R1A/DDX58/C1QBP/DDX5/OSBP/GAPDH/HDAC1/TARDBP/PRDX4/STAU1/NECTIN2/TRIM28/TOP2A/SYT11/DHX9/CDK9/GTF2B/ITGAV/SCARB2/SNF8/SQSTM1/HTRA1/PPIB/DDB1/BANF1/CALR/RAD23A/P4HB/PPIA/YTHDF2/MIF"
"maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" "EXOSC7/NOP14/ERI3/RCL1/EXOSC8/BOP1"
"pyridine-containing compound biosynthetic process" "ME1/PTGS2/ENO1/HIF1A/PGK1/NAMPT/GAPDH/PSAT1/HK2/PDXK/DDIT4/STAT3/PGAM1/IDH2/PNP"
"maintenance of protein localization in organelle" "HSPA5/OS9/KDELR2/AKT1/RER1/HK2/INSIG1/ARL2"
"female pregnancy" "ADIPOR2/KPNA6/PTGS2/UBE2A/COL16A1/TMED2/MMP2/MAGED2/NAMPT/C1QBP/GOT2/POLR1B/PPAT/TRIM28/SLC38A2/SOD1/AKT1/ITGA5/PRDX3/BSG/FOSL1/CALR"
"ribosomal subunit export from nucleus" "RIOK2/NUP88/LTV1/ABCE1/PA2G4"
"nuclear envelope reassembly" "CHMP4B/EMD/LMNA/REEP4/BANF1"
"ribosome localization" "RIOK2/NUP88/LTV1/ABCE1/PA2G4"
"telomere maintenance via telomere lengthening" "XRCC5/HSP90AA1/MAPK1/CCT4/NEK2/TCP1/HNRNPA2B1/PARP1/NAF1/CCT5/CCT3/EXOSC10/DHX36"
"positive regulation of proteolysis" "PSMC4/KARS/ENO1/PSMC5/PSME1/MYH9/RBX1/PSMC6/PDCD5/NOP53/PCOLCE/MAPK14/PSMD14/FN1/NFE2L2/CLU/SNX9/ROCK2/TIMM17A/UBQLN1/ANP32B/CSNK1D/AKT1/HSPD1/PLK2/MMP14/PSMC2/VCP/PLK1/STAT3/PRELID1/RAD23A/UBQLN2/HMGB1/HDAC2/APOPT1"
"coenzyme biosynthetic process" "ME1/PTGS2/ENO1/SLC25A1/HIF1A/PGK1/NAMPT/GAPDH/COQ10B/ACSL3/PPT1/ACLY/PDHA1/FPGS/NDUFA9/DLAT/HK2/PDXK/DDIT4/STAT3/FASN/PGAM1/IDH2/PNP"
"mitotic spindle organization" "TPR/MAP4/NDC80/CHMP2B/CHMP4B/KPNB1/NEK2/TUBG1/CCNB1/CLTC/PLK2/RACGAP1/VCP/PLK1/DYNC1H1/DCTN1"
"rRNA transcription" "SMARCB1/NOP53/H2AFY/NCL/POLR1B/NOL11/PWP1"
"protein peptidyl-prolyl isomerization" "FKBP14/PPIF/FKBP9/PIN1/PPIL4/PPIB/PPIC/PPIA"
"negative regulation of gene silencing" "ELAVL1/ZMPSTE24/PPP3CA/HIST1H1E/HIST1H1B/H1FX/HIST1H1C/H1F0"
"toxin transport" "HSPA5/DNAJA1/SCFD1/CCT4/TCP1/CCT5/CCT3/COPB2"
"positive regulation of ATPase activity" "DNAJA2/DNAJC10/DNAJA1/AHSA1/NAPA/DNAJB6/PFN1/DNAJB1/DHX9/DNAJC7"
"hydrogen peroxide metabolic process" "PRDX6/PRDX4/PRDX5/PXDN/SOD1/PRDX3/PRDX2/STAT3/COX2/GPX1"
"regulation of sister chromatid cohesion" "NAA10/H2AFY/SFPQ/RB1/RAD21/FEN1"
"positive regulation of transcription initiation from RNA polymerase II promoter" "PSMC4/PSMC5/PSMC6/GTF2B/PSMC2/DHX36"
"spliceosomal complex assembly" "RBM5/DDX1/SF3A1/PRPF6/SF3A2/PRPF19/SF3B1/SNRPD2/NCBP1/SNRNP200/SNRPD1/SNRPE/SF3A3"
